available;dwellingId;rent;lat;deletedAt;lng;size;rooms;year;month
;49527;4800;55.6991158;17-09-2014;12.5542479;15;1;2014;9
;234250;21950;55.7071457;20-09-2018;12.5952358;103;3;2018;9
;181140;4000;55.7011986;28-06-2017;12.5485182;12;1;2017;6
;208104;8027;55.6508751;21-12-2017;12.5991888;63;1;2017;12
;84688;13160;55.7052345;25-03-2015;12.5852032;94;3;2015;3
;173174;9000;55.7307816;10-05-2017;12.5228596;56;2;2017;5
;228623;14200;55.6597519;25-07-2018;12.5134802;98;4;2018;7
01-04-2019;249542;22000;55.7121544;;12.592454;93;4;2019;4
;66936;4500;55.6915932;26-10-2014;12.5544758;12;1;2014;10
;242933;14450;55.6508751;05-11-2018;12.5991888;77;3;2018;11
;233789;NA;55.7218819;31-01-2019;12.5799103;95;NA;2019;1
;139744;17000;55.6486053;24-08-2016;12.5524931;105;4;2016;8
;85490;4000;55.6832123;29-04-2015;12.5346317;12;1;2015;4
;34532;7800;55.6898575;15-03-2014;12.5584707;100;3;2014;3
;164882;6000;55.6846123;05-04-2017;12.5545454;30;1;2017;4
;205003;3500;55.6531296;01-12-2017;12.6157923;9;1;2017;12
;171062;16900;55.6543083;17-05-2017;12.5466452;123;4;2017;5
;216887;5065;55.6499138;09-03-2018;12.5502996;8;1;2018;3
;164766;5000;55.6700783;18-03-2017;12.5445232;12;1;2017;3
;236444;10189.58;55.6178932;29-08-2018;12.5728912;73;2;2018;8
;155852;9000;55.6857071;21-02-2017;12.4411764;130;1;2017;2
;69380;12500;55.6797409;04-12-2014;12.5827799;73;3;2014;12
;47433;16000;55.6847038;07-07-2014;12.6148949;139;4;2014;7
;113692;17380;55.6609688;07-06-2016;12.5631943;104;4;2016;6
;111241;2700;55.6494026;26-11-2015;12.5512867;NA;1;2015;11
;92546;12500;55.7411118;11-06-2015;12.4908466;94;3;2015;6
;150853;11255;55.6599197;12-01-2017;12.5587597;65;2;2017;1
;146796;15383;55.6489716;14-10-2016;12.5524588;104;4;2016;10
;109733;14850;55.6524849;13-11-2015;12.5179777;122;5;2015;11
;71821;10931.31;55.6594467;01-12-2014;12.5718279;77;3;2014;12
;155648;15088;55.6489716;23-12-2016;12.5524588;102;4;2016;12
;129168;30000;55.683136;24-05-2016;12.5942192;219;5;2016;5
;126154;19639.63;55.6840134;17-10-2016;12.6147671;151;4;2016;10
;173799;24000;55.6725311;18-07-2017;12.5012169;232;5;2017;7
;160207;13617.61;55.6540413;24-02-2017;12.5684319;100;3;2017;2
